i,out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment,CDX-CORE SI,urban,heatstress,xtrprecip,xtrtemp,compound,extrcyclones,tropcyclones,mountains,drought,uncertainty,fire,energy,n_analyses,n_opt
1,tas,mon,K,Near-Surface Air Temperature,air_temperature,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
2,tas,day,K,Near-Surface Air Temperature,air_temperature,area: time: mean,CORE,,,,,,1,,,,1,,,,,2,0
3,tas,1hr,K,Near-Surface Air Temperature,air_temperature,area: mean time: point,CORE,,1,1,1,,1,1,,,,,2,1,1,8,1
4,tasmax,mon,K,Daily Maximum Near-Surface Air Temperature,air_temperature,area: mean time: maximum within days time: mean over days,CORE,maximum from all integrated time steps per day,,,,,,,,,,,,,,0,0
5,tasmax,day,K,Daily Maximum Near-Surface Air Temperature,air_temperature,area: mean time: maximum,CORE,maximum from all integrated time steps per day,1,1,,,1,,,,1,1,1,,1,7,0
6,tasmin,mon,K,Daily Minimum Near-Surface Air Temperature,air_temperature,area: mean time: minimum within days time: mean over days,CORE,minimum from all integrated time steps per day,,,,,,,,,,,,,,0,0
7,tasmin,day,K,Daily Minimum Near-Surface Air Temperature,air_temperature,area: mean time: minimum,CORE,minimum from all integrated time steps per day,1,1,,,1,,,,1,1,1,,,6,0
8,pr,mon,kg m-2 s-1,Precipitation,precipitation_flux,area: time: mean,CORE,,,,,2,,,,,,,,,,1,1
9,pr,day,kg m-2 s-1,Precipitation,precipitation_flux,area: time: mean,CORE,,,,,1,,,,,,1,1,,1,4,0
10,pr,1hr,kg m-2 s-1,Precipitation,precipitation_flux,area: time: mean,CORE,,1,1,,1,,1,1,1,,,2,1,1,9,1
11,evspsbl,mon,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,area: time: mean,CORE,,,,,,,,,,,1,,,,1,0
12,evspsbl,day,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
13,evspsbl,1hr,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,area: time: mean,CORE,,,,,,,,,,,,,,1,1,0
14,huss,mon,1,Near-Surface Specific Humidity,specific_humidity,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
15,huss,day,1,Near-Surface Specific Humidity,specific_humidity,area: time: mean,CORE,,,,,,1,,,,1,,,,,2,0
16,huss,1hr,1,Near-Surface Specific Humidity,specific_humidity,area: mean time: point,CORE,,,,,,1,1,,,,,,,1,3,0
17,hurs,mon,%,Near-Surface Relative Humidity,relative_humidity,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
18,hurs,day,%,Near-Surface Relative Humidity,relative_humidity,area: time: mean,CORE,,,1,,,1,,,,,,,,,2,0
19,hurs,1hr,%,Near-Surface Relative Humidity,relative_humidity,area: mean time: point,CORE,,,2,1,,1,,,1,,,,1,,5,1
20,ps,mon,Pa,Surface Air Pressure,surface_air_pressure,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
21,ps,day,Pa,Surface Air Pressure,surface_air_pressure,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
22,ps,1hr,Pa,Surface Air Pressure,surface_air_pressure,area: mean time: point,CORE,,,,1,,,,,,,,,,1,2,0
23,psl,mon,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
24,psl,day,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
25,psl,1hr,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,area: mean time: point,CORE,,,,,,1,,1,1,,,,,1,4,0
26,sfcWind,mon,m s-1,Near-Surface Wind Speed,wind_speed,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
27,sfcWind,day,m s-1,Near-Surface Wind Speed,wind_speed,area: time: mean,CORE,,,1,,,,,,,,,,,1,2,0
28,sfcWind,1hr,m s-1,Near-Surface Wind Speed,wind_speed,area: mean time: point,CORE,,,,1,,,1,,1,,,,1,1,5,0
29,uas,mon,m s-1,Eastward Near-Surface Wind,eastward_wind,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
30,uas,day,m s-1,Eastward Near-Surface Wind,eastward_wind,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
31,uas,1hr,m s-1,Eastward Near-Surface Wind,eastward_wind,area: mean time: point,CORE,,,,,,1,,1,1,,,,2,1,5,1
32,vas,mon,m s-1,Northward Near-Surface Wind,northward_wind,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
33,vas,day,m s-1,Northward Near-Surface Wind,northward_wind,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
34,vas,1hr,m s-1,Northward Near-Surface Wind,northward_wind,area: mean time: point,CORE,,,,,,,,1,1,,,,2,1,4,1
35,clt,mon,%,Total Cloud Cover Percentage,cloud_area_fraction,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
36,clt,day,%,Total Cloud Cover Percentage,cloud_area_fraction,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
37,clt,1hr,%,Total Cloud Cover Percentage,cloud_area_fraction,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
38,rsds,mon,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
39,rsds,day,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
40,rsds,1hr,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,area: time: mean,CORE,,,,1,,,,,,,,,,,1,0
41,rlds,mon,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,area: time: mean,CORE,,,,,,,,,,,,,,,0,0
